time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-07-10 14:00:00,30209.22,30365.0,30202.01,30310.01,352.174011,10662005.52305162,2023-07-10,0,0.6712339919408321
2023-07-10 15:00:00,30310.01,30322.64,30243.28,30316.46,221.427896,6706248.6132514,2023-07-10,0,0.7195378815076157
2023-07-10 16:00:00,30316.46,30379.2,30245.11,30353.91,221.821191,6722371.92762278,2023-07-10,-1,1.0
2023-07-10 17:00:00,30353.91,30366.0,30266.52,30279.0,141.564711,4292784.14193148,2023-07-10,1,0.0
2023-07-10 18:00:00,30279.0,30548.42,30269.25,30527.99,358.240892,10902585.52050999,2023-07-10,0,0.38102442461535047
2023-07-10 19:00:00,30527.99,30837.99,30494.53,30834.0,617.02249,18916847.17151317,2023-07-10,-1,1.0
2023-07-10 20:00:00,30834.0,31042.15,30765.15,30779.9,833.044953,25742757.49919618,2023-07-10,0,0.8905703126423686
2023-07-10 21:00:00,30779.9,30794.52,30200.0,30305.19,457.922206,13996609.28869072,2023-07-10,1,0.0
2023-07-10 22:00:00,30305.19,30396.52,30195.6,30346.0,386.749304,11718357.92988128,2023-07-10,0,-0.090020149874553
2023-07-10 23:00:00,30346.0,30419.34,30340.0,30414.69,206.851058,6284394.21167751,2023-07-10,0,0.22131705373009222
2023-07-11 00:00:00,30414.69,30500.0,30364.57,30417.99,297.910934,9062098.84414958,2023-07-11,0,0.23627429309384615
2023-07-11 01:00:00,30417.99,30596.0,30401.03,30586.49,479.574818,14619483.89798495,2023-07-11,-1,1.0
2023-07-11 02:00:00,30586.49,30595.77,30457.03,30482.62,144.186796,4400371.53984278,2023-07-11,0,0.5292095597843074
2023-07-11 03:00:00,30482.62,30495.78,30402.0,30480.52,153.040889,4660514.81201378,2023-07-11,0,0.5196913165528427
2023-07-11 04:00:00,30480.52,30499.14,30440.0,30443.9,78.370005,2388265.05247765,2023-07-11,1,0.0
2023-07-11 05:00:00,30443.9,30469.99,30438.52,30459.51,49.314964,1501798.72479845,2023-07-11,0,-0.3379673937132168
2023-07-11 06:00:00,30459.51,30659.74,30454.53,30639.0,212.900372,6509235.20707775,2023-07-11,-1,1.0
2023-07-11 07:00:00,30639.0,30650.0,30532.52,30537.14,161.784279,4948811.1063022,2023-07-11,0,0.24070779027451208
2023-07-11 08:00:00,30537.14,30564.52,30494.52,30494.52,101.649722,3103680.57659196,2023-07-11,0,-0.07699330906280714
2023-07-11 09:00:00,30494.52,30511.52,30352.74,30448.96,260.352361,7919773.58778522,2023-07-11,0,-0.41660996992177063
2023-07-11 10:00:00,30448.96,30450.0,30371.96,30394.95,80.168624,2437695.79024816,2023-07-11,1,0.0
2023-07-11 11:00:00,30394.95,30454.0,30394.95,30410.52,89.235686,2714330.19043244,2023-07-11,0,-0.23807008139875688
2023-07-11 12:00:00,30410.52,30438.0,30382.0,30435.87,205.136648,6239041.79448038,2023-07-11,0,-0.10478879821777871
2023-07-11 13:00:00,30435.87,30496.52,30300.0,30450.52,204.195641,6207402.75334968,2023-07-11,0,-0.027764309121067223
2023-07-11 14:00:00,30450.52,30597.91,30381.98,30527.99,280.19089,8544336.21583051,2023-07-11,0,0.3795453953377544
2023-07-11 15:00:00,30527.99,30817.5,30488.5,30598.0,512.223613,15695441.62996322,2023-07-11,0,0.7476330732667724
2023-07-11 16:00:00,30598.0,30687.5,30508.15,30646.0,247.320771,7564981.11789052,2023-07-11,-1,1.0
2023-07-11 17:00:00,30646.0,30664.0,30552.56,30576.86,134.337651,4113765.55159533,2023-07-11,0,0.6364864726180164
2023-07-11 18:00:00,30576.86,30576.86,30410.01,30483.17,167.662312,5110582.3959519,2023-07-11,1,0.0
2023-07-11 19:00:00,30483.17,30584.0,30463.08,30583.66,137.891441,4210695.29393821,2023-07-11,-1,0.5072798194012869
2023-07-11 20:00:00,30583.66,30633.99,30555.1,30571.99,92.821428,2839827.11131581,2023-07-11,0,0.3572656136202834
2023-07-11 21:00:00,30571.99,30583.84,30511.91,30570.57,82.822304,2528967.88784579,2023-07-11,0,0.3390119570470752
2023-07-11 22:00:00,30570.57,30599.71,30510.0,30580.52,127.6558,3901048.59164723,2023-07-11,0,0.4669160999366481
2023-07-11 23:00:00,30580.52,30646.79,30580.52,30621.99,97.262827,2977801.69563585,2023-07-11,-1,1.0
